model,kind,a,b,ari_cut,coph_corr,triplet_agree
clip_b,boot_pair,0,1,0.7739880941989976,0.9143168153386592,0.9059
clip_b,boot_pair,0,2,0.8863269623980896,0.9629743851782728,0.9501
clip_b,boot_pair,0,3,0.8389466574908517,0.9130483771618876,0.9149
clip_b,boot_pair,0,4,0.8234280668177458,0.923411211347418,0.8972
clip_b,boot_pair,0,5,0.9037553895230382,0.9322581085422654,0.9142
clip_b,boot_pair,0,6,0.86419465036385,0.9305312814633364,0.912
clip_b,boot_pair,0,7,0.9136691410765014,0.9423263040524691,0.9293
clip_b,boot_pair,0,8,0.8780588779903619,0.9523288024465908,0.9426
clip_b,boot_pair,0,9,0.7857234116815508,0.9298703388473132,0.9175
clip_b,boot_pair,0,10,0.8369838463278813,0.9177772495961236,0.9046
clip_b,boot_pair,0,11,0.8990361714759904,0.9293316897199224,0.9079999999999999
clip_b,boot_pair,0,12,0.8446732430577574,0.9351956579234372,0.9217
clip_b,boot_pair,0,13,0.8637728263470353,0.9543114091849294,0.94
clip_b,boot_pair,0,14,0.8405593151396707,0.928172681719335,0.9277
clip_b,boot_pair,0,15,0.8561046655588694,0.9407047715819596,0.9343
clip_b,boot_pair,0,16,0.9140650686437432,0.934687055537287,0.9218
clip_b,boot_pair,0,17,0.9251964495351378,0.9461518902643172,0.9302
clip_b,boot_pair,0,18,0.8400777694745973,0.9265870170862832,0.9279
clip_b,boot_pair,0,19,0.895300047079142,0.9395001566788332,0.9289
clip_b,boot_pair,0,20,0.8698064653572837,0.9439355483913424,0.9343
clip_b,boot_pair,0,21,0.8519056945324451,0.9441965223007888,0.9388
clip_b,boot_pair,0,22,0.8585522189501705,0.9345226282934193,0.9205
clip_b,boot_pair,0,23,0.9079055334493256,0.9419079677915144,0.9345
clip_b,boot_pair,0,24,0.8200384867144804,0.9343616261383496,0.9197
clip_b,boot_pair,0,25,0.8530969516729257,0.9484367490035718,0.95
clip_b,boot_pair,0,26,0.8921868049530228,0.9265794949066476,0.9238
clip_b,boot_pair,0,27,0.9330701777684663,0.9380944196600922,0.9108
clip_b,boot_pair,0,28,0.9138708102592122,0.937464177434755,0.9373
clip_b,boot_pair,0,29,0.8590341504765108,0.9518366709439918,0.9519
clip_b,boot_pair,1,2,0.8336972213588001,0.9107895609627844,0.8923
clip_b,boot_pair,1,3,0.8656971821457973,0.9495765080824634,0.9482
clip_b,boot_pair,1,4,0.8982469639260762,0.9389396883093306,0.9284
clip_b,boot_pair,1,5,0.7968454158055587,0.9495673905920656,0.9462
clip_b,boot_pair,1,6,0.8441221082779943,0.9431125468723852,0.9416
clip_b,boot_pair,1,7,0.8049433292079801,0.9338651266331252,0.9276
clip_b,boot_pair,1,8,0.8476899372942135,0.9337025767449194,0.9343
clip_b,boot_pair,1,9,0.8703887558657607,0.9220483380626936,0.8951
clip_b,boot_pair,1,10,0.8210978435211964,0.939750987620595,0.934
clip_b,boot_pair,1,11,0.7935648254839217,0.9247960780808996,0.9129
clip_b,boot_pair,1,12,0.8414618441887269,0.9355406972172778,0.9303
clip_b,boot_pair,1,13,0.8158719159302321,0.9210838455810668,0.9211
clip_b,boot_pair,1,14,0.8667815948254957,0.9360940341996241,0.9326
clip_b,boot_pair,1,15,0.8571198669331604,0.9347246877678416,0.9218
clip_b,boot_pair,1,16,0.8114434137675944,0.9459519796000704,0.953
clip_b,boot_pair,1,17,0.8027819833516551,0.9350171332652868,0.9329
clip_b,boot_pair,1,18,0.775643457083205,0.9187193802325244,0.9196
clip_b,boot_pair,1,19,0.8017519146709596,0.9248241602746692,0.9226
clip_b,boot_pair,1,20,0.8370803076234132,0.925850101175156,0.9232
clip_b,boot_pair,1,21,0.8656758693498599,0.9275911345109634,0.9114
clip_b,boot_pair,1,22,0.8376305554682083,0.947790780197249,0.9554
clip_b,boot_pair,1,23,0.7762872487144983,0.9216326409316256,0.9209999999999999
clip_b,boot_pair,1,24,0.9043907932825864,0.9447441983027064,0.9365
clip_b,boot_pair,1,25,0.8395968705677512,0.910669357213588,0.8997
clip_b,boot_pair,1,26,0.8256826945329805,0.94540515270046,0.943
clip_b,boot_pair,1,27,0.8170129410529678,0.936520264793261,0.9329
clip_b,boot_pair,1,28,0.7974292210811108,0.9257987153027508,0.9273
clip_b,boot_pair,1,29,0.8560593297157181,0.929639912773501,0.9239
clip_b,boot_pair,2,3,0.8986542195724937,0.9221511193136184,0.9061
clip_b,boot_pair,2,4,0.87309934634746,0.9402407967426204,0.924
clip_b,boot_pair,2,5,0.8764818453840768,0.932915754782359,0.9015
clip_b,boot_pair,2,6,0.9060172336401388,0.9286381271146386,0.8965
clip_b,boot_pair,2,7,0.869659652439826,0.9434107568972704,0.9181
clip_b,boot_pair,2,8,0.9304093661247148,0.9500657416299064,0.9212
clip_b,boot_pair,2,9,0.8539562457507172,0.9400282419706087,0.9318
clip_b,boot_pair,2,10,0.8705308998999984,0.9226280208627904,0.9004
clip_b,boot_pair,2,11,0.8699166511744132,0.9389046099827496,0.9178
clip_b,boot_pair,2,12,0.8153414756722416,0.934563281668502,0.905
clip_b,boot_pair,2,13,0.9034509174844948,0.9543316922057116,0.9274
clip_b,boot_pair,2,14,0.8831645117527734,0.9305846842046516,0.9193
clip_b,boot_pair,2,15,0.8972623198498829,0.9411876106127791,0.9216
